instance p cost time
uf250-041.cnf 0.3 0 0.156563
uf250-041.cnf 0.4 0 0.0838906
uf250-041.cnf 0.5 0 0.00514563
uf250-041.cnf 0.6 0 0.0388179
uf250-041.cnf 0.7 0 0.134104
uf250-041.cnf 0.8 0 15.1473
uf250-041.cnf 0.9 13 20.0002
uf250-042.cnf 0.1 0 0.774079
uf250-042.cnf 0.2 0 0.554928
uf250-042.cnf 0.3 0 0.020339
uf250-042.cnf 0.4 0 0.00771378
uf250-042.cnf 0.5 0 0.0198285
uf250-042.cnf 0.6 0 0.0048558
uf250-042.cnf 0.7 0 0.101493
uf250-042.cnf 0.8 9 20.0002
uf250-042.cnf 0.9 18 20.0002
uf250-043.cnf 0.1 0 0.570764
uf250-043.cnf 0.2 0 0.0136852
uf250-043.cnf 0.3 0 0.0151715
uf250-043.cnf 0.4 0 0.0272308
uf250-043.cnf 0.5 0 0.0264526
uf250-043.cnf 0.6 0 0.011395
uf250-043.cnf 0.7 0 0.10232
uf250-043.cnf 0.8 11 20.0003
uf250-043.cnf 0.9 21 20.0002
uf250-044.cnf 0.1 0 0.174094
uf250-044.cnf 0.2 0 0.0474888
uf250-044.cnf 0.3 0 0.00463522
uf250-044.cnf 0.4 0 0.00160499
uf250-044.cnf 0.5 0 0.00455313
uf250-044.cnf 0.6 0 0.0233263
uf250-044.cnf 0.7 0 0.0160975
uf250-044.cnf 0.8 0 0.254243
uf250-044.cnf 0.9 14 20.0002
uf250-045.cnf 0.1 0 1.29212
uf250-045.cnf 0.2 0 0.128471
uf250-045.cnf 0.3 0 0.0473884
uf250-045.cnf 0.4 0 0.0368013
uf250-045.cnf 0.5 0 0.012198
uf250-045.cnf 0.6 0 0.0128572
uf250-045.cnf 0.7 0 0.650581
uf250-045.cnf 0.8 10 20.0002
uf250-045.cnf 0.9 22 20.0002
uf250-046.cnf 0.1 0 0.437541
uf250-046.cnf 0.2 0 0.047621
uf250-046.cnf 0.3 0 0.0339413
uf250-046.cnf 0.4 0 0.0458272
uf250-046.cnf 0.5 0 0.0208723
uf250-046.cnf 0.6 0 0.0152617
uf250-046.cnf 0.7 0 0.068749
uf250-046.cnf 0.8 0 0.418744
uf250-046.cnf 0.9 14 20.0002
uf250-047.cnf 0.1 0 1.4594
uf250-047.cnf 0.2 0 0.00701597
uf250-047.cnf 0.3 0 0.160586
uf250-047.cnf 0.4 0 0.03894
uf250-047.cnf 0.5 0 0.00716102
uf250-047.cnf 0.6 0 0.0123029
uf250-047.cnf 0.7 0 0.103528
uf250-047.cnf 0.8 0 6.60867
uf250-047.cnf 0.9 17 20.0002
uf250-048.cnf 0.1 0 0.519573
uf250-048.cnf 0.2 0 0.807385
uf250-048.cnf 0.3 0 0.160065
uf250-048.cnf 0.4 0 0.0868651
uf250-048.cnf 0.5 0 0.02775
uf250-048.cnf 0.6 0 0.053346
uf250-048.cnf 0.7 0 0.00652089
uf250-048.cnf 0.8 0 3.59295
uf250-048.cnf 0.9 14 20.0002
uf250-049.cnf 0.1 0 0.44894
uf250-049.cnf 0.2 0 0.00257648
uf250-049.cnf 0.3 0 0.00996261
uf250-049.cnf 0.4 0 0.0035174
uf250-049.cnf 0.5 0 0.00629952
uf250-049.cnf 0.6 0 0.00205329
uf250-049.cnf 0.7 0 0.00422091
uf250-049.cnf 0.8 0 0.0305735
uf250-049.cnf 0.9 0 12.2384
uf250-05.cnf 0.1 0 1.59395
uf250-05.cnf 0.2 0 0.207715
uf250-05.cnf 0.3 0 0.349983
uf250-05.cnf 0.4 0 0.0219056
uf250-05.cnf 0.5 0 0.0141907
uf250-05.cnf 0.6 0 0.0136481
uf250-05.cnf 0.7 0 0.0260599
uf250-05.cnf 0.8 0 4.87455
uf250-05.cnf 0.9 21 20.0002
uf250-050.cnf 0.1 0 1.40408
uf250-050.cnf 0.2 0 0.103595
uf250-050.cnf 0.3 0 0.158756
uf250-050.cnf 0.4 0 0.060021
uf250-050.cnf 0.5 0 0.0195449
uf250-050.cnf 0.6 0 0.0355431
uf250-050.cnf 0.7 0 0.00611107
uf250-050.cnf 0.8 0 12.0649
uf250-050.cnf 0.9 14 20.0003
uf250-051.cnf 0.1 0 3.30146
uf250-051.cnf 0.2 0 0.928833
uf250-051.cnf 0.3 0 0.624627
uf250-051.cnf 0.4 0 0.0530908
uf250-051.cnf 0.5 0 0.0211481
uf250-051.cnf 0.6 0 0.00426549
uf250-051.cnf 0.7 0 0.0828254
uf250-051.cnf 0.8 0 8.73712
uf250-051.cnf 0.9 19 20.0002
uf250-052.cnf 0.1 0 0.0692085
uf250-052.cnf 0.2 0 0.456772
uf250-052.cnf 0.3 0 0.0213932
uf250-052.cnf 0.4 0 0.0820554
uf250-052.cnf 0.5 0 0.0168036
uf250-052.cnf 0.6 0 0.0126291
uf250-052.cnf 0.7 0 0.0145826
uf250-052.cnf 0.8 0 18.0929
uf250-052.cnf 0.9 17 20.0002
uf250-053.cnf 0.1 0 11.4656
uf250-053.cnf 0.2 0 0.0425072
uf250-053.cnf 0.3 0 0.191217
uf250-053.cnf 0.4 0 0.0981829
uf250-053.cnf 0.5 0 0.035117
uf250-053.cnf 0.6 0 0.0237508
uf250-053.cnf 0.7 0 0.11463
uf250-053.cnf 0.8 0 1.82034
uf250-053.cnf 0.9 14 20.0002
uf250-054.cnf 0.1 0 0.0298153
uf250-054.cnf 0.2 0 0.0613461
uf250-054.cnf 0.3 0 0.0562381
uf250-054.cnf 0.4 0 1.20745
uf250-054.cnf 0.5 0 1.77081
uf250-054.cnf 0.6 0 0.456185
uf250-054.cnf 0.7 0 3.30325
uf250-054.cnf 0.8 4 20.0073
uf250-054.cnf 0.9 18 20.0001
uf250-055.cnf 0.1 0 0.164684
uf250-055.cnf 0.2 0 0.041037
uf250-055.cnf 0.3 0 0.247859
uf250-055.cnf 0.4 0 0.00969456
uf250-055.cnf 0.5 0 0.0204669
uf250-055.cnf 0.6 0 0.00440354
uf250-055.cnf 0.7 0 0.0351538
uf250-055.cnf 0.8 0 1.1003
uf250-055.cnf 0.9 18 20.0002
uf250-056.cnf 0.1 0 0.888559
uf250-056.cnf 0.2 0 0.0980561
uf250-056.cnf 0.3 0 0.0337691
uf250-056.cnf 0.4 0 0.00914511
uf250-056.cnf 0.5 0 0.00745485
uf250-056.cnf 0.6 0 0.00957587
uf250-056.cnf 0.7 0 0.0100912
uf250-056.cnf 0.8 0 12.7892
uf250-056.cnf 0.9 18 20.0002
uf250-057.cnf 0.1 0 0.311655
uf250-057.cnf 0.2 0 0.586855
uf250-057.cnf 0.3 0 0.182699
uf250-057.cnf 0.4 0 0.0440308
uf250-057.cnf 0.5 0 0.00295021
uf250-057.cnf 0.6 0 0.00637603
uf250-057.cnf 0.7 0 0.0558418
uf250-057.cnf 0.8 0 4.84196
uf250-057.cnf 0.9 22 20.0002
uf250-058.cnf 0.1 0 2.27669
uf250-058.cnf 0.2 0 1.6994
uf250-058.cnf 0.3 0 0.840589
uf250-058.cnf 0.4 0 0.284132
uf250-058.cnf 0.5 0 0.628378
uf250-058.cnf 0.6 0 0.0520981
uf250-058.cnf 0.7 0 2.51917
uf250-058.cnf 0.8 9 20.0002
