instance it g initsat
uf250-05.cnf 0 2000 86.9484
uf250-05.cnf 0 2000 88.169
uf250-05.cnf 1 2000 86.0094
uf250-05.cnf 1 2000 88.4507
uf250-05.cnf 1 2000 86.8545
uf250-05.cnf 1 2000 87.4178
uf250-050.cnf 0 2000 86.2911
uf250-050.cnf 0 2000 87.4178
uf250-050.cnf 0 2000 88.7324
uf250-050.cnf 0 2000 87.4178
uf250-050.cnf 1 2000 88.9202
uf250-050.cnf 1 2000 87.6056
uf250-050.cnf 1 2000 87.23
uf250-050.cnf 1 2000 87.1361
uf250-051.cnf 0 2000 87.6995
uf250-051.cnf 0 2000 87.3239
uf250-051.cnf 0 2000 88.6385
uf250-051.cnf 0 2000 89.108
uf250-051.cnf 1 2000 88.2629
uf250-051.cnf 1 2000 88.3568
uf250-051.cnf 1 2000 89.2958
uf250-051.cnf 1 2000 86.1033
uf250-052.cnf 0 2000 87.6056
uf250-052.cnf 0 2000 86.1033
uf250-052.cnf 0 2000 87.4178
uf250-052.cnf 0 2000 85.2582
uf250-052.cnf 1 2000 87.9812
uf250-052.cnf 1 2000 89.2958
uf250-052.cnf 1 2000 88.3568
uf250-052.cnf 1 2000 87.8873
uf250-053.cnf 0 2000 87.7934
uf250-053.cnf 0 2000 88.2629
uf250-053.cnf 0 2000 88.169
uf250-053.cnf 0 2000 86.385
uf250-053.cnf 1 2000 87.4178
uf250-053.cnf 1 2000 89.108
uf250-053.cnf 1 2000 87.8873
uf250-053.cnf 1 2000 88.0751
uf250-054.cnf 0 2000 85.7277
uf250-054.cnf 0 2000 87.8873
uf250-054.cnf 0 2000 88.169
uf250-054.cnf 0 2000 88.3568
uf250-054.cnf 1 2000 88.4507
uf250-054.cnf 1 2000 88.8263
uf250-054.cnf 1 2000 86.1033
uf250-054.cnf 1 2000 87.5117
uf250-055.cnf 0 2000 86.7606
uf250-055.cnf 0 2000 89.108
uf250-055.cnf 0 2000 86.6667
uf250-055.cnf 0 2000 88.2629
uf250-055.cnf 1 2000 87.4178
uf250-055.cnf 1 2000 88.8263
uf250-055.cnf 1 2000 89.2019
uf250-055.cnf 1 2000 87.9812
uf250-056.cnf 0 2000 87.3239
uf250-056.cnf 0 2000 87.6056
uf250-056.cnf 0 2000 87.7934
uf250-056.cnf 0 2000 86.9484
uf250-056.cnf 1 2000 89.0141
uf250-056.cnf 1 2000 87.5117
uf250-056.cnf 1 2000 88.5446
uf250-056.cnf 1 2000 88.0751
uf250-057.cnf 0 2000 88.169
uf250-057.cnf 0 2000 86.4789
uf250-057.cnf 0 2000 88.0751
uf250-057.cnf 0 2000 87.1361
uf250-057.cnf 1 2000 87.23
uf250-057.cnf 1 2000 88.6385
uf250-057.cnf 1 2000 87.7934
uf250-057.cnf 1 2000 88.3568
uf250-058.cnf 0 2000 87.6995
uf250-058.cnf 0 2000 86.9484
uf250-058.cnf 0 2000 87.7934
uf250-058.cnf 0 2000 89.5775
uf250-058.cnf 1 2000 88.7324
uf250-058.cnf 1 2000 89.6714
uf250-058.cnf 1 2000 87.6056
uf250-058.cnf 1 2000 88.3568
uf250-059.cnf 0 2000 87.8873
uf250-059.cnf 0 2000 85.2582
uf250-059.cnf 0 2000 86.5728
uf250-059.cnf 0 2000 88.169
uf250-059.cnf 1 2000 87.6995
uf250-059.cnf 1 2000 88.4507
uf250-059.cnf 1 2000 87.0423
uf250-059.cnf 1 2000 88.8263
uf250-06.cnf 0 2000 87.9812
uf250-06.cnf 0 2000 86.1972
uf250-06.cnf 0 2000 89.0141
uf250-06.cnf 0 2000 86.7606
uf250-06.cnf 1 2000 88.4507
uf250-06.cnf 1 2000 88.2629
uf250-06.cnf 1 2000 89.3897
uf250-06.cnf 1 2000 87.23
uf250-060.cnf 0 2000 85.3521
uf250-060.cnf 0 2000 88.5446
uf250-060.cnf 0 2000 87.9812
uf250-060.cnf 0 2000 88.6385
uf250-060.cnf 1 2000 86.7606
uf250-060.cnf 1 2000 86.7606
uf250-060.cnf 1 2000 88.6385
uf250-060.cnf 1 2000 87.6056
uf250-061.cnf 0 2000 87.6995
uf250-061.cnf 0 2000 88.8263
uf250-061.cnf 0 2000 88.0751
uf250-061.cnf 0 2000 88.5446
uf250-061.cnf 1 2000 88.7324
uf250-061.cnf 1 2000 87.23
uf250-061.cnf 1 2000 86.9484
uf250-061.cnf 1 2000 87.0423
uf250-062.cnf 0 2000 87.4178
uf250-062.cnf 0 2000 85.446
uf250-062.cnf 0 2000 86.4789
uf250-062.cnf 0 2000 88.6385
uf250-062.cnf 1 2000 86.7606
uf250-062.cnf 1 2000 87.1361
uf250-062.cnf 1 2000 87.1361
uf250-062.cnf 1 2000 87.3239
uf250-063.cnf 0 2000 88.6385
uf250-063.cnf 0 2000 88.6385
uf250-063.cnf 0 2000 88.0751
uf250-063.cnf 0 2000 87.9812
uf250-063.cnf 1 2000 88.169
uf250-063.cnf 1 2000 88.2629
uf250-063.cnf 1 2000 87.3239
uf250-063.cnf 1 2000 88.6385
uf250-064.cnf 0 2000 88.169
uf250-064.cnf 0 2000 86.6667
uf250-064.cnf 0 2000 86.9484
uf250-064.cnf 0 2000 86.1033
uf250-064.cnf 1 2000 87.9812
uf250-064.cnf 1 2000 87.1361
uf250-064.cnf 1 2000 86.5728
uf250-064.cnf 1 2000 87.4178
uf250-065.cnf 0 2000 88.7324
uf250-065.cnf 0 2000 87.1361
uf250-065.cnf 0 2000 86.385
uf250-065.cnf 0 2000 88.3568
uf250-065.cnf 1 2000 86.385
uf250-065.cnf 1 2000 87.7934
uf250-065.cnf 1 2000 87.5117
uf250-065.cnf 1 2000 88.8263
uf250-066.cnf 0 2000 87.7934
uf250-066.cnf 0 2000 86.5728
uf250-066.cnf 0 2000 89.2019
uf250-066.cnf 0 2000 87.6056
uf250-066.cnf 1 2000 89.7653
uf250-066.cnf 1 2000 89.108
uf250-066.cnf 1 2000 87.4178
uf250-066.cnf 1 2000 89.9531
uf250-067.cnf 0 2000 89.2958
uf250-067.cnf 0 2000 88.2629
uf250-067.cnf 0 2000 86.7606
uf250-067.cnf 0 2000 86.6667
uf250-067.cnf 1 2000 89.3897
uf250-067.cnf 1 2000 86.0094
uf250-067.cnf 1 2000 87.7934
uf250-067.cnf 1 2000 86.1033
uf250-068.cnf 0 2000 86.7606
uf250-068.cnf 0 2000 87.7934
uf250-068.cnf 0 2000 87.3239
uf250-068.cnf 0 2000 89.108
uf250-068.cnf 1 2000 89.7653
uf250-068.cnf 1 2000 86.4789
uf250-068.cnf 1 2000 89.2958
uf250-068.cnf 1 2000 87.6056
uf250-069.cnf 0 2000 86.6667
uf250-069.cnf 0 2000 89.0141
uf250-069.cnf 0 2000 87.3239
uf250-069.cnf 0 2000 87.3239
uf250-069.cnf 1 2000 87.8873
uf250-069.cnf 1 2000 86.5728
uf250-069.cnf 1 2000 86.385
uf250-069.cnf 1 2000 88.8263
uf250-07.cnf 0 2000 88.3568
uf250-07.cnf 0 2000 87.1361
uf250-07.cnf 0 2000 87.6056
uf250-07.cnf 0 2000 88.2629
uf250-07.cnf 1 2000 87.23
uf250-07.cnf 1 2000 87.3239
uf250-07.cnf 1 2000 87.6995
uf250-07.cnf 1 2000 88.3568
uf250-070.cnf 0 2000 87.1361
uf250-070.cnf 0 2000 87.9812
uf250-070.cnf 0 2000 88.3568
uf250-070.cnf 0 2000 87.9812
uf250-070.cnf 1 2000 88.4507
uf250-070.cnf 1 2000 87.1361
uf250-070.cnf 1 2000 88.6385
uf250-070.cnf 1 2000 86.385
uf250-071.cnf 0 2000 85.7277
uf250-071.cnf 0 2000 88.5446
uf250-071.cnf 0 2000 89.2019
uf250-071.cnf 0 2000 87.5117
uf250-071.cnf 1 2000 89.0141
uf250-071.cnf 1 2000 86.0094
uf250-071.cnf 1 2000 88.169
uf250-071.cnf 1 2000 88.3568
uf250-072.cnf 0 2000 88.2629
uf250-072.cnf 0 2000 84.9765
uf250-072.cnf 0 2000 86.385
uf250-072.cnf 0 2000 88.6385
uf250-072.cnf 1 2000 85.3521
uf250-072.cnf 1 2000 84.6009
uf250-072.cnf 1 2000 86.6667
uf250-072.cnf 1 2000 87.1361
uf250-073.cnf 0 2000 88.5446
uf250-073.cnf 0 2000 87.6056
uf250-073.cnf 0 2000 86.9484
