instance p cost time
uuf250-048.cnf 0.4 1 0.00630885
uuf250-048.cnf 0.5 1 0.0355757
uuf250-048.cnf 0.6 1 0.0171404
uuf250-048.cnf 0.7 1 0.0786626
uuf250-048.cnf 0.8 1 5.32408
uuf250-048.cnf 0.9 20 20.0002
uuf250-049.cnf 0.1 1 1.24782
uuf250-049.cnf 0.2 1 0.00344838
uuf250-049.cnf 0.3 1 0.0104244
uuf250-049.cnf 0.4 1 0.00905107
uuf250-049.cnf 0.5 1 0.00736378
uuf250-049.cnf 0.6 1 0.00582219
uuf250-049.cnf 0.7 1 0.108002
uuf250-049.cnf 0.8 1 19.9265
uuf250-049.cnf 0.9 15 20.0002
uuf250-05.cnf 0.1 1 0.186224
uuf250-05.cnf 0.2 1 0.119905
uuf250-05.cnf 0.3 1 0.053888
uuf250-05.cnf 0.4 1 0.0445628
uuf250-05.cnf 0.5 1 0.00593302
uuf250-05.cnf 0.6 1 0.0446212
uuf250-05.cnf 0.7 1 0.415122
uuf250-05.cnf 0.8 9 20.0003
uuf250-05.cnf 0.9 19 20.0002
uuf250-050.cnf 0.1 1 1.63311
uuf250-050.cnf 0.2 1 0.0693231
uuf250-050.cnf 0.3 1 0.436334
uuf250-050.cnf 0.4 1 0.0160032
uuf250-050.cnf 0.5 1 0.0195308
uuf250-050.cnf 0.6 1 0.0186981
uuf250-050.cnf 0.7 1 1.13584
uuf250-050.cnf 0.8 14 20.0002
uuf250-050.cnf 0.9 24 20.0002
uuf250-051.cnf 0.1 1 0.00811063
uuf250-051.cnf 0.2 1 0.00218988
uuf250-051.cnf 0.3 1 0.0147338
uuf250-051.cnf 0.4 1 0.00419118
uuf250-051.cnf 0.5 1 0.00470756
uuf250-051.cnf 0.6 1 0.0086545
uuf250-051.cnf 0.7 1 0.0101345
uuf250-051.cnf 0.8 1 1.16941
uuf250-051.cnf 0.9 19 20.0003
uuf250-052.cnf 0.1 2 20.0002
uuf250-052.cnf 0.2 2 20.0003
uuf250-052.cnf 0.3 3 20.0002
uuf250-052.cnf 0.4 3 20.0002
uuf250-052.cnf 0.5 3 20.0002
uuf250-052.cnf 0.6 3 20.0003
uuf250-052.cnf 0.7 10 20.0002
uuf250-052.cnf 0.8 18 20.0002
uuf250-052.cnf 0.9 27 20.0002
uuf250-053.cnf 0.1 1 0.120044
uuf250-053.cnf 0.2 1 0.142111
uuf250-053.cnf 0.3 1 0.0128732
uuf250-053.cnf 0.4 1 0.00596527
uuf250-053.cnf 0.5 1 0.0050229
uuf250-053.cnf 0.6 1 0.006154
uuf250-053.cnf 0.7 1 0.0140978
uuf250-053.cnf 0.8 1 1.16109
